Metalearned,Rotation,Curriculum,Seed,Accuracy,Successes,Failures
True,Rotated,Blocked,1,0.70625,226,94
True,Rotated,Interleaved,1,0.453125,145,175
True,Rule-like,Blocked,1,1.0,320,0
True,Rule-like,Interleaved,1,0.3,96,224
True,Rotated,Blocked,2,0.75,240,80
True,Rotated,Interleaved,2,0.709375,227,93
True,Rule-like,Blocked,2,1.0,320,0
True,Rule-like,Interleaved,2,1.0,320,0
True,Rotated,Blocked,3,0.65625,210,110
True,Rotated,Interleaved,3,0.690625,221,99
True,Rule-like,Blocked,3,0.996875,319,1
True,Rule-like,Interleaved,3,0.996875,319,1
True,Rotated,Blocked,4,0.740625,237,83
True,Rotated,Interleaved,4,0.75625,242,78
True,Rule-like,Blocked,4,1.0,320,0
True,Rule-like,Interleaved,4,1.0,320,0
True,Rotated,Blocked,5,0.7875,252,68
True,Rotated,Interleaved,5,0.75,240,80
True,Rule-like,Blocked,5,1.0,320,0
True,Rule-like,Interleaved,5,1.0,320,0
True,Rotated,Blocked,6,0.775,248,72
True,Rotated,Interleaved,6,0.73125,234,86
True,Rule-like,Blocked,6,1.0,320,0
True,Rule-like,Interleaved,6,0.965625,309,11
True,Rotated,Blocked,7,0.73125,234,86
True,Rotated,Interleaved,7,0.759375,243,77
True,Rule-like,Blocked,7,1.0,320,0
True,Rule-like,Interleaved,7,1.0,320,0
True,Rotated,Blocked,8,0.65,208,112
True,Rotated,Interleaved,8,0.515625,165,155
True,Rule-like,Blocked,8,1.0,320,0
True,Rule-like,Interleaved,8,0.65,208,112
True,Rotated,Blocked,9,0.765625,245,75
True,Rotated,Interleaved,9,0.5125,164,156
True,Rule-like,Blocked,9,1.0,320,0
True,Rule-like,Interleaved,9,0.659375,211,109
True,Rotated,Blocked,10,0.678125,217,103
True,Rotated,Interleaved,10,0.571875,183,137
True,Rule-like,Blocked,10,1.0,320,0
True,Rule-like,Interleaved,10,0.4875,156,164
