Metalearned,Rotation,Curriculum,Seed,Accuracy,Successes,Failures
False,Rotated,Blocked,1,0.5111111111111111,46,44
False,Rotated,Interleaved,1,1.0,90,0
False,Rule-like,Blocked,1,0.4444444444444444,40,50
False,Rule-like,Interleaved,1,1.0,90,0
False,Rotated,Blocked,2,0.5111111111111111,46,44
False,Rotated,Interleaved,2,1.0,90,0
False,Rule-like,Blocked,2,0.4666666666666667,42,48
False,Rule-like,Interleaved,2,1.0,90,0
False,Rotated,Blocked,3,0.4666666666666667,42,48
False,Rotated,Interleaved,3,1.0,90,0
False,Rule-like,Blocked,3,0.4666666666666667,42,48
False,Rule-like,Interleaved,3,1.0,90,0
False,Rotated,Blocked,4,0.5111111111111111,46,44
False,Rotated,Interleaved,4,1.0,90,0
False,Rule-like,Blocked,4,0.4444444444444444,40,50
False,Rule-like,Interleaved,4,1.0,90,0
False,Rotated,Blocked,5,0.5222222222222223,47,43
False,Rotated,Interleaved,5,1.0,90,0
False,Rule-like,Blocked,5,0.4444444444444444,40,50
False,Rule-like,Interleaved,5,1.0,90,0
False,Rotated,Blocked,6,0.4888888888888889,44,46
False,Rotated,Interleaved,6,1.0,90,0
False,Rule-like,Blocked,6,0.45555555555555555,41,49
False,Rule-like,Interleaved,6,1.0,90,0
False,Rotated,Blocked,7,0.4666666666666667,42,48
False,Rotated,Interleaved,7,1.0,90,0
False,Rule-like,Blocked,7,0.4444444444444444,40,50
False,Rule-like,Interleaved,7,1.0,90,0
False,Rotated,Blocked,8,0.5222222222222223,47,43
False,Rotated,Interleaved,8,1.0,90,0
False,Rule-like,Blocked,8,0.4444444444444444,40,50
False,Rule-like,Interleaved,8,1.0,90,0
False,Rotated,Blocked,9,0.5,45,45
False,Rotated,Interleaved,9,1.0,90,0
False,Rule-like,Blocked,9,0.4444444444444444,40,50
False,Rule-like,Interleaved,9,1.0,90,0
False,Rotated,Blocked,10,0.5222222222222223,47,43
False,Rotated,Interleaved,10,1.0,90,0
False,Rule-like,Blocked,10,0.4666666666666667,42,48
False,Rule-like,Interleaved,10,1.0,90,0
True,Rule-like,Blocked,2,1.0,160,0
True,Rule-like,Interleaved,2,0.2625,42,118
True,Rule-like,Blocked,3,0.99375,159,1
True,Rule-like,Interleaved,3,0.9875,158,2
True,Rule-like,Blocked,4,1.0,160,0
True,Rule-like,Interleaved,4,0.50625,81,79
True,Rule-like,Blocked,6,1.0,160,0
True,Rule-like,Interleaved,6,0.10625,17,143
True,Rule-like,Blocked,9,1.0,160,0
True,Rule-like,Interleaved,9,0.125,20,140
True,Rotated,Blocked,2,0.6111111111111112,55,35
True,Rotated,Interleaved,2,1.0,90,0
True,Rotated,Blocked,3,0.7555555555555555,68,22
True,Rotated,Interleaved,3,1.0,90,0
True,Rotated,Blocked,4,0.6,54,36
True,Rotated,Interleaved,4,1.0,90,0
True,Rotated,Blocked,6,0.6222222222222222,56,34
True,Rotated,Interleaved,6,1.0,90,0
True,Rotated,Blocked,9,0.6222222222222222,56,34
True,Rotated,Interleaved,9,1.0,90,0
