Metalearned,Rotation,Curriculum,Seed,Accuracy,Successes,Failures
True,Rotated,Blocked,2,0.00625,1,159
True,Rotated,Interleaved,2,0.0,0,160
True,Rule-like,Blocked,2,1.0,160,0
True,Rule-like,Interleaved,2,0.2625,42,118
True,Rotated,Blocked,3,0.0,0,160
True,Rotated,Interleaved,3,0.0,0,160
True,Rule-like,Blocked,3,0.99375,159,1
True,Rule-like,Interleaved,3,0.9875,158,2
True,Rotated,Blocked,4,0.0,0,160
True,Rotated,Interleaved,4,0.00625,1,159
True,Rule-like,Blocked,4,1.0,160,0
True,Rule-like,Interleaved,4,0.50625,81,79
True,Rotated,Blocked,6,0.00625,1,159
True,Rotated,Interleaved,6,0.00625,1,159
True,Rule-like,Blocked,6,1.0,160,0
True,Rule-like,Interleaved,6,0.10625,17,143
True,Rotated,Blocked,9,0.00625,1,159
True,Rotated,Interleaved,9,0.0,0,160
True,Rule-like,Blocked,9,1.0,160,0
True,Rule-like,Interleaved,9,0.125,20,140
